Country,ISO3,LocationCode,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,TotalPop_thousands,Under40_thousands,Under40_pct,Under20_thousands,Under20_pct,Age0to4_thousands,Age0to4_pct,Over65_thousands,Over65_pct
Jersey,JEY,832,2025,4.37,4.88,5.5,5.5,5.64,6.04,6.24,6.82,7.58,7.5,7.68,8.39,7.77,6.23,4.76,4.01,2.5,1.64,0.71,0.2,0.04,103.99,44.98,43.25,20.24,19.47,4.37,4.2,20.09,19.32
Tonga,TON,776,2025,11.55,11.72,12.96,11.74,9.76,6.3,5.23,5.05,5.2,4.76,4.64,4.52,3.21,2.51,1.91,1.34,0.78,0.41,0.13,0.02,0.0,103.74,74.3,71.62,47.97,46.24,11.55,11.13,7.11,6.85
Saint Vincent and the Grenadines,VCT,670,2025,5.97,6.99,7.9,7.51,6.94,7.08,7.04,6.3,6.77,6.66,6.35,6.17,6.01,4.74,3.16,2.12,1.23,0.68,0.26,0.06,0.01,99.92,55.72,55.77,28.37,28.39,5.97,5.97,12.24,12.25
Antigua and Barbuda,ATG,28,2025,5.5,5.22,5.74,6.56,6.53,7.12,7.14,7.09,6.66,6.34,6.4,6.55,5.73,4.49,3.11,2.0,1.13,0.56,0.24,0.08,0.02,94.21,50.9,54.03,23.02,24.44,5.5,5.84,11.62,12.34
United States Virgin Islands,VIR,850,2025,4.72,4.49,4.64,5.04,4.67,3.94,4.35,4.51,4.91,5.02,5.51,6.33,6.58,6.05,5.01,4.13,2.64,1.14,0.39,0.09,0.01,84.14,36.34,43.19,18.88,22.44,4.72,5.61,19.46,23.12
Isle of Man,IMN,833,2025,3.48,3.71,4.5,4.72,4.47,4.42,4.61,4.87,5.1,5.22,6.19,6.56,6.4,5.32,4.66,4.39,2.82,1.66,0.73,0.23,0.05,84.12,34.79,41.36,16.42,19.52,3.48,4.14,19.86,23.61
Andorra,AND,20,2025,2.68,3.09,3.86,4.41,4.7,5.23,5.53,5.77,6.38,7.13,7.41,6.85,6.13,4.65,3.31,2.52,1.68,0.91,0.47,0.17,0.02,82.9,35.27,42.55,14.04,16.93,2.68,3.23,13.73,16.56
Cayman Islands,CYM,136,2025,4.43,3.87,3.88,4.04,3.97,4.79,6.37,7.05,7.12,6.78,6.36,5.6,4.37,2.91,1.91,1.18,0.67,0.35,0.16,0.04,0.0,75.84,38.4,50.63,16.22,21.38,4.43,5.84,7.22,9.51
Dominica,DMA,212,2025,3.54,3.8,4.26,4.34,4.35,4.69,5.57,5.12,4.72,3.81,4.37,4.64,3.97,3.24,2.27,1.53,0.93,0.49,0.19,0.04,0.01,65.87,35.66,54.14,15.94,24.2,3.54,5.38,8.69,13.2
Bermuda,BMU,60,2025,2.63,2.87,3.12,3.39,3.33,3.42,3.35,3.79,4.58,4.6,4.85,4.83,5.21,4.71,3.68,2.75,1.8,1.02,0.49,0.12,0.02,64.55,25.89,40.1,12.01,18.6,2.63,4.08,14.6,22.61
